June,czerwca
all,i
made,i
grapes,za funt centów
puzzle,i
jar,słoik
cold,i
cream,do
2,2
50,50
guilders,guldenów
gift,i
certificate,i Kugler się zaświadczenie lekarskie w z
two,i
books,i
another,i
book,i
well,dobrze i
Camera,Mam też inną książkę Camera Obscura
Obscura,Mam też inną książkę Camera Obscura
Margot,Margot
already,już
exchanged,i
mine,i
something,coś
else,nie
platter,i
homemade,półmisek domowych ciasteczek
cookies,ciasteczka i
myself,się i
course,Oczywiście i
ve,się nie i
become,się
quite,i
an,i
expert,które oczywiście zrobiłem sam odkąd stałem się ekspertem w pieczeniu ciastek
baking,w na
lots,i
candy,i
strawberry,i
tart,i
Mother,i
And,A
letter,list
Grammy,Grammy
right,i
time,i
just,i
coincidence,i
Hanneli,Hanneli
came,i
pick,w
we,i
school,i
During,i
recess,i do
passed,i
out,i
teachers,i
class,klasy
back,i
work,i
didn,nie
arrive,i
home,domu
five,pięć i
gym,do domu ponieważ
with,z
rest,i
take,i
part,i
because,że nie
shoulders,i
hips,i
tend,do
dislocated,Nie mogę wziąć udziału ponieważ moje ramiona i biodra mają tendencję do zwichnięcia
As,i
decide,zdecydować i na
classmates,Tin
would,i że
play,i
chose,i
volleyball,Ponieważ były moje urodziny musiałem zdecydować w którą grę będą grać moi koledzy i wybrałem siatkówkę
Afterward,Potem
they,i
danced,Potem wszyscy tańczyli wokół mnie w kręgu i śpiewali
around,i
circle,i
sang,śpiewała
Happy,Wszystkiego najlepszego z okazji urodzin Wesołej Pięćdziesiątnicy Do widzenia Byłem szczęśliwy w Moor House i ciężko pracowałem
Birthday,Wszystkiego najlepszego z okazji urodzin
Sanne,Sanne
Ledermann,Kiedy wróciłem do domu Sanne Ledermann już tam była
there,i
Ilse,Ilse
Wagner,Wagner
Goslar,Goslar
Jacqueline,Jacqueline van Maarsen
van,van
Maarsen,van Maarsen
re,i się
same,i
used,się
best,i
friends,i
People,Ludzie
who,i
us,nas
together,i
say,że
There,i
goes,i
Anne,Anne
Hanne,Tam idzie Anne Hanne i Sanne
only,tylko
met,i
started,i
Jewish,w do i
Lyceum,Liceum
she,i
s,i
friend,i przyjaciela
They,i
gave,i
beautiful,i
Dutch,i w
Sasas,mi tom
Lesends,mi tom
Volume,mi tom
II,mi tom II
mistake,że
Aunt,Reed
Helene,Ciotka Helene przyniosła mi zagadkę ciocia Stephanie ukochaną broszkę a ciotka Leny wspaniałą książkę
Stephanie,Ciotka Helene przyniosła mi zagadkę ciocia Stephanie ukochaną broszkę a ciotka Leny wspaniałą książkę
darling,i
brooch,broszkę
Leny,Ciotka Helene przyniosła mi zagadkę ciocia Stephanie ukochaną broszkę a ciotka Leny wspaniałą książkę
terrific,jest
Daisy,Daisy jedzie w góry
Goes,Daisy jedzie w góry
Mountains,Daisy jedzie w góry
morning,i
lay,na
bathtub,w jak Tin
thinking,o
how,jak
wonderful,i
if,i
dog,i
Rin,Tin
Tin,Tin
d,i się że
call,i
him,go i
too,i
he,i
could,nie
stay,i nie że
janitor,go Tin przy
or,lub
bicycle,na
racks,go Tin przy na rowery
weather,i
good,i
MONDAY,PONIEDZIAŁEK
15,15
party,na
Sunday,w
afternoon,i
The,i
movie,i
big,i
hit,i
brooches,dwie
bookmark,dwie
start,się
saying,i
few,i
things,rzeczy
about,o
beginning,i
students,od o uczniów studenci w którym
Betty,Betty Bloemendaal wygląda trochę biednie i myślę że prawdopodobnie taka jest
Bloemendaal,Betty Bloemendaal wygląda trochę biednie i myślę że prawdopodobnie taka jest
looks,i
kind,i
poor,i
think,że
probably,prawdopodobnie
She,i się
lives,w
obscure,i
street,na i
West,na
Amsterdam,w i
none,nie
know,nie że
does,nie
very,bardzo
works,w i z
hard,i się
smart,że nie jest
pretty,i
quiet,i
supposedly,Jacqueline van Maarsen jest podobno moją najlepszą przyjaciółką ale nigdy nie miałam prawdziwej przyjaciółki Nie jestem już zadowolony z bezsensownego uczucia lub rzekomo poważnych rozmów
real,i
At,i
thought,że
Jacque,Jacque
badly,bardzo
mistaken,się
D,D van
Q,DQ to bardzo nerwowa dziewczyna która zawsze zapomina o rzeczach więc nauczyciele za karę zadają jej dodatkową pracę domową
nervous,i
girl,i
always,zawsze
forgetting,o
keep,i się
assigning,DQ to bardzo nerwowa dziewczyna która zawsze zapomina o rzeczach więc nauczyciele za karę zadają jej dodatkową pracę domową
her,jej
extra,bardzo i być że dodatkowe do
homework,mi lekcji
punishment,i
especially,zwłaszcza
G,GZ
Z,GZ
talks,mówi
funny,zabawne
touching,jego
your,i
hair,i
fiddling,się
buttons,Zawsze dotyka twoich włosów lub bawi się guzikami kiedy cię o coś pyta Szale paski kołnierzyki guziki 1 25
asks,o mnie
stand,i
don,nie
care,nie się
either,nie
Henny,Henny o i jest na ma
Mets,Henny Mets to miła dziewczyna o wesołym usposobieniu poza tym że mówi głośno i jest bardzo dziecinna gdy bawimy się na świeżym powietrzu
nice,i jest
cheerful,i
disposition,i
except,z
loud,i
voice,głos
really,naprawdę
childish,że
playing,się w
outdoors,i
Unfortunately,Niestety
girlfriend,i
named,o
Beppy,ma
bad,i
influence,na
dirty,i
vulgar,jest i
whole,i
detestable,obrzydliwa jest z a
sneaky,to obrzydliwa podstępna nadęta dwulicowa plotka która myśli że jest taka dorosła
stuck,w
faced,o
gossip,i
thinks,że
grown,się
under,pod
spell,i się
shame,i w
easily,łatwo
offended,się na i że
bursts,się
into,w i
tears,i
slightest,się najmniejszej na
top,na
off,i
terrible,się i
show,się nie i
Miss,i
J,JE
rich,i
closet,i
full,i
most,i
adorable,najbardziej są ojciec
dresses,i
are,i
old,i
gorgeous,jest cudowna
each,i
extremely,i
finicky,to i
spend,i
hours,i
moaning,i
groaning,i jęczeć
likes,lubi
lot,i
lazy,i gdy
Lies,w
called,i
strange,i się
side,i
usually,zwykle
shy,jest nieśmiały
outspoken,w
reserved,w ale bardziej powściągliwy a
people,i
blabs,Opowiada matce wszystko co jej powiesz
whatever,i
tell,i nie powiedzieć
mother,i
says,mówi
what,co
lately,ostatnio
come,i
appreciate,w
deal,się i
Nannie,Nannie
Praag,Nannie van Praag Sigaar jest mała zabawna i rozsądna
Sigaar,Nannie van Praag Sigaar jest mała zabawna i rozsądna
small,i
sensible,i że
Eefje,Moim zdaniem Eefje de Jong jest wspaniały
de,de
Jong,Moim zdaniem Eefje de Jong jest wspaniały
opinion,się nie i
Though,Chociaż
twelve,w do i
lady,i
acts,się
baby,dziecko
also,i
helpful,i
prettiest,i na
our,i
face,twarz i
dumb,nie
going,i się
hold,się i
year,nie w się roku i
haven,nie
told,że i
AT,KOMENTARZ DODANY PRZEZ ANNE W PÓŹNIEJSZYM TERMINIE
LATER,KOMENTARZ DODANY PRZEZ ANNE W PÓŹNIEJSZYM TERMINIE
DATE,KOMENTARZ DODANY PRZEZ ANNE W PÓŹNIEJSZYM TERMINIE
To,nie i do
surprise,i
wasn,nie
held,w i
sitting,i
next,i w
last,i w
girls,i
said,powiedział i
boys,i z
Maurice,Maurice Coster jest jednym z moich wielu wielbicieli ale w dużym stopniu szkodnikiem
Coster,Maurice Coster jest jednym z moich wielu wielbicieli ale w dużym stopniu szkodnikiem
many,i
admirers,wielbicieli i
pest,że
Sallie,Sallie Springer ma brudny umysł a plotka głosi że przeszedł na całość
Springer,dwa
filthy,brudny
rumor,o i
gone,i nie
Still,to
Emiel,Emiel Bonewit jest wielbicielem GZ ale jej to nie obchodzi
Bonewit,Emiel Bonewit jest wielbicielem GZ ale jej to nie obchodzi
admirer,jest lub w nam
He,i
boring,i
Rob,Rob Cohen też był we mnie zakochany ale już go nie znoszę
Cohen,Rob Cohen też był we mnie zakochany ale już go nie znoszę
love,i
anymore,już nie
obnoxious,do
sniveling,ma nie
goof,Jest okropnym dwulicowym kłamliwym złośliwym głupkiem który ma o sobie okropnie wysokie mniemanie
awfully,z
high,i
himself,i się
Max,z
Velde,z
farm,jest z
boy,i
Medemblik,z
eminently,jest z powiedziałaby Margot
suitable,się
Herman,Herman Koopman również ma brudny umysł podobnie jak Jopie de Beer która jest okropnym flirtem i absolutnie szaloną dziewczyną
Koopman,Herman Koopman również ma brudny umysł podobnie jak Jopie de Beer która jest okropnym flirtem i absolutnie szaloną dziewczyną
Jopie,Jopie i
Beer,brudny umysł Jopie de Beer jest
flirt,i
absolutely,i
crazy,i to
Leo,Leo jest ale
Blom,Leo Blom jest najlepszym przyjacielem Jopie de Beer ale został zrujnowany przez swój brudny umysł
ruined,i
his,jego
Albert,Albert de Mesquita pochodził ze szkoły Montessori i opuścił klasę
Mesquita,Albert de Mesquita pochodził ze szkoły Montessori i opuścił klasę
Montessori,Montessori
School,Montessori School ale do
skipped,ze
grade,do
Slager,Leo Slager pochodzi z tej samej szkoły ale nie jest tak mądry
Ru,Ru Stoppelmon to niski głupkowaty chłopak z Almelo który przeniósł się do tej szkoły w połowie roku
Stoppelmon,Ru Stoppelmon to niski głupkowaty chłopak z Almelo który przeniósł się do tej szkoły w połowie roku
short,w i
goofy,Ru Stoppelmon to niski głupkowaty chłopak z Almelo który przeniósł się do tej szkoły w połowie roku
Almelo,Ru Stoppelmon to niski głupkowaty chłopak z Almelo który przeniósł się do tej szkoły w połowie roku
transferred,do
this,i
middle,w na i
supposed,że
Jacques,Jacques Kocernoot i
Kocernoot,Jacques Kocernoot i
sits,i
behind,za
C,i
laugh,się
ourselves,się
silly,nie
Harry,Harry Schaap to najbardziej przyzwoity chłopak w naszej klasie
Schaap,Harry Schaap to najbardziej przyzwoity chłopak w naszej klasie
decent,i
Werner,jest
Joseph,jest
changes,i
taking,i
place,się w i
seems,się
Sam,Sam
Salomon,Sam Salomon to jeden z tych twardzieli zza torów
tough,z
guys,Sam Salomon to jeden z tych twardzieli zza torów
across,i
tracks,Sam Salomon to jeden z tych twardzieli zza torów
brat,bachor bachorem nie tête z
Appie,Appie Riem jest dość ortodoksyjnym ale też bachorem
Riem,Appie Riem jest dość ortodoksyjnym ale też bachorem
Orthodox,tak
SATURDAY,SOBOTA
20,20
Writing,Pisanie w pamiętniku to naprawdę dziwne doświadczenie dla kogoś takiego jak ja
experience,i
someone,nie i się ktoś
Not,Nie
written,że w na i
anything,nie
before,i
later,później
neither,ani
nor,ani
interested,nie
musings,się
thirteen,że
schoolgirl,że Czy naprawdę
matter,nie się
feel,i się
writing,i
even,nawet
greater,niż
need,nie
kinds,i
chest,i
Paper,Papier niż ludzie
more,i
patience,cierpliwości i że
than,niż
days,dni
feeling,i
depressed,przygnębiony
chin,i
hands,i
bored,i się
listless,i w apatyczny
wondering,się
whether,czy
go,i do
finally,końcu w
stayed,i
brooding,się
Yes,Tak
paper,w
planning,z do i planuje
let,i
read,i
stiff,i
backed,a ponieważ nie
notebook,w i
grandly,Tak papier ma więcej cierpliwości a ponieważ nie zamierzam pozwolić nikomu innemu czytać tego zeszytu ze sztywnym grzbietem nazywanego
referred,się
unless,nie
should,że nie się i
ever,kiedykolwiek i
find,i
won,nie
make,i się
difference,różnica
Now,Teraz
point,i
prompted,i
Let,Niech i
put,i
clearly,wyraźnie
no,nie
believe,że
completely,całkowicie
alone,i
world,i
loving,i
parents,nie się że
sixteen,i
sister,i w
thirty,trzydzieści
throng,w
their,i ich
adoring,którzy nie mnie
eyes,i
sometimes,czasami
resort,do
using,i
broken,i
pocket,i do
mirror,i
try,się
catch,się
glimpse,z
classroom,którzy mnie do z aby
family,i
aunts,ciotki i
No,Nie
surface,i
seem,się
true,to nie
All,i
having,i
bring,się do i
talk,o i nie
ordinary,w i
everyday,i
We,się i
closer,się
problem,problem
Maybe,Może
fault,i
In,W
case,i nie
unfortunately,niestety
liable,na
change,się
why,dlaczego
enhance,w chcę
image,się
long,i
awaited,i
imagination,i
want,nie
jot,w chcę to
down,i
facts,w
do,nie i
Since,Ponieważ
understand,nie
word,słowo
stories,i
plunge,nie się
better,lepiej
provide,nie
brief,w
sketch,nie szkic
life,i
dislike,nie
doing,i
My,Moja i
father,ojciec
seen,nie
marry,się
twenty,dwadzieścia
born,się
Frankfurt,się we Frankfurcie z
am,się nie jestem i
Main,w
Germany,w
1926,w
1929,Urodziłem się 12 czerwca 1929 roku
lived,w nie i
four,w i cztery
Because,Ponieważ
immigrated,do
Holland,do Holandii w
1933,do w 1933 roku która
became,się
Managing,do
Director,do
Opekta,do
Company,w
manufactures,do
products,do produkty
making,i
jam,i
Edith,z do
Hollander,z do
Frank,Frank
September,do
while,i
sent,do
Aachen,z
grandmother,z
December,Margot w listopad grudzień
followed,za i
February,do
plunked,Margot w
present,i
away,i
nursery,i
sixth,szóstej
teacher,i
Mrs,pani
Kuperus,Kuperus dyrektor
principal,i
end,i
both,i
heartbreaking,do
farewell,z
accepted,przyjęty do
Our,Nasze
without,bez
anxiety,i
relatives,krewnych
suffering,i
Hitler,że
anti,że
laws,Nasze życie nie było pozbawione niepokoju ponieważ nasi krewni w Niemczech cierpieli z powodu antyżydowskich praw Hitlera Nie wychodzę pod kierownictwem człowieka podlegam wadliwym prawom i błędnej kontroli moich słabych kolegów robaków
After,Po
pogroms,Po pogromach w 1938 roku moi dwaj wujkowie
1938,Po pogromach w 1938 roku moi dwaj wujkowie
uncles,wujkowie i
brothers,bracia mam ani braci i
fled,z
finding,w i
safe,i
refuge,na i
North,w
America,uciekł z Niemiec znajdując bezpieczne schronienie w Ameryce Północnej
elderly,i się
live,i
seventy,siedemdziesiąt
three,trzy i
years,lat
May,i
1940,1940 r w
times,i razy
between,między
war,i się że
capitulation,potem i
arrival,i do
Germans,i Niemcy
trouble,i się
Jews,i Żydzi
freedom,i
severely,poważnie odwrócić mnie to
restricted,i
series,i
decrees,się
required,i
wear,nosić na nie się
yellow,i
star,i
turn,i się
bicycles,na
forbidden,nie i
use,z nie
cars,i
ride,na
own,i
shopping,i
3,3
5,5
P,00
M,M Pozdrawiam Anne
frequent,i
owned,i
barbershops,Żydzi byli zobowiązani do odwiedzania wyłącznie żydowskich salonów fryzjerskich i kosmetycznych
beauty,i
parlors,Żydzi byli zobowiązani do odwiedzania wyłącznie żydowskich salonów fryzjerskich i kosmetycznych
streets,w
8,8
6,6
attend,i się w
theaters,Zabroniono Żydom chodzenia do teatrów filmów i innych form rozrywki
movies,i
forms,i się
entertainment,rozrywki
swimming,i
pools,boisk
tennis,do
courts,boisk
hockey,i
fields,i
athletic,ani
rowing,Żydom nie wolno było wiosłować
activity,i
public,w
sit,i
gardens,ogrodach
visit,w
Christians,w i
homes,w i
schools,szkół
You,i nie się
dare,się
cause,się
afraid,się
summer,i w 1
1941,i
Grandma,babcia i
sick,i
operation,i
celebration,roku
fighting,i
ended,się
died,i
January,i
knows,wie
often,często
still,i
intended,i
others,i
candle,i
lit,i
brings,przynosi w
date,się
solemn,i
dedication,Nasza czwórka nadal ma się dobrze a to prowadzi mnie do obecnej daty 20 czerwca 1942 r I uroczystego poświęcenia mojego dziennika
Dearest,Najdroższa Kotku
Father,i
Ping,w
Pong,w
young,i
Trees,i Margot w z
formed,i
club,z i
It,To i się
Little,i
Dipper,Wóz
Minus,Minus
Two,na
name,imię
based,na
wanted,i
give,i
special,nie
idea,i się
consisted,się
stars,i
turned,się
wrong,że się
Big,Ma siedem podobnie jak Wielki Wóz co wyjaśnia
explains,wyjaśnia
set,i
Wagners,Ilse Wagner ma zestaw do ping ponga a Wagners pozwalają nam bawić się w ich dużej jadalni kiedy tylko chcemy
whenever,się
players,w
ice,w
hot,i
games,w się i
nearest,się
parlor,w
allows,pozwala
Oasis,lub
Delphi,Oaza lub Delphi
stopped,się
hunting,na lub w nam z
purses,które mogliby
money,i pieniędzy
busy,i
manage,się
generous,i
men,i
acquaintance,i
offer,się i
eat,i nie
week,w
surprised,i
hear,i się nie
talking,o i
such,i
tender,i
age,w
may,nie
vice,się w występku
rampant,Niestety lub nie zależnie od przypadku ten występek wydaje się szerzyć w naszej szkole
soon,i się wkrótce
nine,i dziewięć dziewiątej
ten,dziesięć
sure,że
enamored,na
spot,i
sight,na i
second,i
His,Jego
ardor,Jego zapał w końcu się ochładza zwłaszcza że ignoruję jego namiętne spojrzenia i beztrosko pedałuję po drodze
eventually,w końcu
cools,Jego zapał w końcu się ochładza zwłaszcza że ignoruję jego namiętne spojrzenia i beztrosko pedałuję po drodze
ignore,i
passionate,się i
glances,i
pedal,Jego zapał w końcu się ochładza zwłaszcza że ignoruję jego namiętne spojrzenia i beztrosko pedałuję po drodze
blithely,w i beztrosko
If,Jeśli
gets,się
rambling,się
asking,o
permission,pozwolenie
swerve,na
slightly,i lekko
bike,na
schoolbag,i
falls,i
man,i
feels,się w
obliged,i do
hand,i
bag,i
switched,i
conversation,i
topic,się i
These,Te
innocent,i
types,typy z
Of,Oczywiście
blow,cios
kisses,pocałunki
arm,i
definitely,się na zdecydowanie
knocking,do i
door,drzwi
refuse,i nie
further,i
company,i
act,się
insulted,i
them,i
uncertain,i
terms,i
laid,i
basis,się
friendship,przyjaźń przyjaźni i
Until,nie
tomorrow,jutro
Yours,Pozdrawiam Anne
21,21
entire,i
quaking,się w
its,i
boots,się
reason,powód
upcoming,kto zostanie
meeting,w
promoted,kto zostanie do klasy
kept,i
Half,się Pół
bets,zakłady i
N,z
staked,i Jacques Kocernoot którzy przeznaczyli na swój zakład całe oszczędności z wakacji
vacation,do
savings,i Jacques Kocernoot którzy przeznaczyli na swój zakład całe oszczędności z wakacji
bet,się że
night,w i nocy
pass,nie
Even,Nawet
pleading,i
angry,i
outbursts,wybuchy nie
calm,i
ask,się
dummies,i
unpredictable,Jeśli o mnie chodzi jest tak wiele manekinów że około jednej czwartej klasy powinno się zatrzymać ale nauczyciele są najbardziej nieprzewidywalnymi stworzeniami na ziemi Może tym razem dla odmiany będą nieprzewidywalne i idą w dobrym kierunku
creatures,i
earth,i
direction,w
worried,Nie się o i bardzo
girlfriends,dziewczyny
subject,temat
math,i
Anyway,W każdym razie
telling,nie się
lose,i
heart,i
women,i kobiety
Keesing,Keesing
fogey,Keesing stary mag który uczy matematyki był na mnie zły przez najdłuższy czas ponieważ tak dużo mówiłem
teaches,uczy
mad,na się nie i
longest,z
talked,i o
several,kilka i
warnings,do i
assigned,mi i
An,na i z się
essay,na esej
Chatterbox,Gaduła
chatterbox,tym
worry,się
decided,i
jotted,Zanotowałem zadanie w zeszycie włożyłem je do torby i starałem się milczeć
assignment,Zanotowałem zadanie w zeszycie włożyłem je do torby i starałem się milczeć
tucked,do i
tried,się
That,To
evening,i
finished,i
note,i
caught,w się
eye,i
began,i
chewing,Zacząłem myśleć o tym żując czubek wiecznego pióra
tip,na
fountain,pióro i
pen,i pióro
Anyone,Każdy
ramble,Każdy mógł wędrować dalej i zostawiać duże odstępy między słowami ale sztuka polegała na wymyśleniu przekonujących argumentów aby udowodnić konieczność rozmowy pozwolili nam włóczyć się po lesie jak cyganie od rana do wieczora
leave,i
spaces,Każdy mógł wędrować dalej i zostawiać duże odstępy między słowami ale sztuka polegała na wymyśleniu przekonujących argumentów aby udowodnić konieczność rozmowy
words,słowa
trick,i w
convincing,Każdy mógł wędrować dalej i zostawiać duże odstępy między słowami ale sztuka polegała na wymyśleniu przekonujących argumentów aby udowodnić konieczność rozmowy
arguments,i ale argumentów
prove,i udowodnić się
necessity,konieczność
suddenly,nagle
wrote,i do
pages,strony i
Mr,pan
satisfied,i się
argued,i
female,nie
trait,cecha
break,i
habit,w
did,nie
inherited,i
traits,z
proceeded,i
through,i przez
Incorrigible,Niepoprawny Gaduła
handed,i
nothing,nie nic
complain,nie
classes,na
However,Jednak
during,w
third,na i
enough,wystarczająco i
entitled,że a nie z
Quack,Quack
Mistress,Anne znachor
Chatterback,znachor
roared,ryknęła podczas gdy w
though,chociaż nie
nearly,prawie
exhausted,się i
ingenuity,się w i
chatterboxes,Ja też musiałem się śmiać chociaż prawie wyczerpałem swoją pomysłowość w temacie gadek
j,j
original,z
poetry,poezji
offered,i
help,i nie
verse,do się
jumped,i
joy,radości
trying,się i
joke,i
ridiculous,że
poem,i
duck,się
swan,Chodziło o matkę kaczkę i łabędzia ojca z trzema małymi kaczuszkami które ojciec ugryzł na śmierć ponieważ kwakały za dużo
ducklings,Chodziło o matkę kaczkę i łabędzia ojca z trzema małymi kaczuszkami które ojciec ugryzł na śmierć ponieważ kwakały za dużo
bitten,z ugryzł na
death,i
quacked,Chodziło o matkę kaczkę i łabędzia ojca z trzema małymi kaczuszkami które ojciec ugryzł na śmierć ponieważ kwakały za dużo
Luckily,Na szczęście
took,i
adding,do
comments,i
contrary,przeciwnie
jokes,żarty
these,te się i
WEDNESDAY,ŚRODA
24,24
sweltering,Jest upalnie Aby dać wyobrażenie o licznych skargach opiszę pokrótce te upalne dni
Everyone,Wszyscy
huffing,sapią
puffing,sapią
heat,nie
walk,i
everywhere,wszędzie
Only,Tylko
realize,sobie nie że
pleasant,i
streetcar,i
luxury,sobie jest ale nie luksusu ich
feet,na
Yesterday,Wczoraj
lunchtime,w porze
appointment,u dentysty
dentist,i
Jan,Jan
Luykenstraat,Wczoraj w porze obiadowej miałem wizytę u dentysty na Jan Luykenstraat
Stadstimmertuinen,To bardzo daleko od naszej szkoły na Stadstimmertuinen
fell,i
asleep,i
desk,i
Fortunately,Na szczęście
automatically,się
drink,i
dental,dentystyczny u dentysty
assistant,Asystent dentystyczny jest naprawdę miły Tak jako twój asystent odpowiedziałem
mode,w z
transportation,transportu
left,i
ferry,Jedynym środkiem transportu jaki nam pozostał jest prom
ferryman,Przewoźnik z Josef Israelkade zabrał nas na drugą stronę kiedy go o to poprosiliśmy
Josef,Przewoźnik z Josef Israelkade zabrał nas na drugą stronę kiedy go o to poprosiliśmy
Israelkade,Przewoźnik z Josef Israelkade zabrał nas na drugą stronę kiedy go o to poprosiliśmy
asked,i
wish,nie
stolen,że
Easter,rower został się do
Christian,i
safekeeping,rower
Thank,Dzięki i
goodness,i
almost,prawie
here,tu i
torment,tego
over,i
Something,Coś
unexpected,i
happened,się
yesterday,wczoraj
passing,i
heard,i
being,i
Wilma,Wilmy że Wilma jest a
cousin,i tym
bore,w
toward,do się
somewhat,nieco
shyly,Podszedł do mnie nieco nieśmiało i przedstawił się jako Hello Silberberg
introduced,się
Hello,i Hello
Silberberg,Silberberg
allow,na i
accompany,towarzyszyć
headed,na
walked,i
waiting,na
again,i
expect,się
JULY,LIPCA
1,1
today,dzisiaj
honestly,nie
day,i
Thursday,w
gotten,się
past,i
comes,z
Gelsenkirchen,z
grandparents,z dziadkowie nie
Belgium,Belgii
Ursula,Witam miałam dziewczynę o imieniu Ursula
perfectly,doskonale
sweet,i
Ever,Odkąd
realized,sobie
falling,się i
Ursul,że
pep,Więc jestem czymś w rodzaju wzmacniacza pobudzającego
tonic,Więc jestem czymś w rodzaju wzmacniacza pobudzającego
spent,w na
Saturday,w
answered,nie odpowiedziałem
phone,i
Helmuth,To jest Helmuth Silberberg
please,nie
speak,i
hi,Och cześć Anne
How,Jak
Fine,Dobrze dzięki W porządku lubię zmiany Niezłe okazy ludzkości ci Niemcy i pomyśleć że jestem jednym z nich
thanks,dzięki za w i
sorry,że nie
tonight,wieczorem
Is,Czy
minutes,minut
fine,i
Okay,Okej zaraz będę Czy mimo wszystko spróbuję Dobra proszę
hung,i na
quickly,szybko
changed,się
clothes,i
fixed,i
leaned,i
window,i
watch,i
showed,się i
Miracle,Cud cudów nie spieszyłem się po schodach tylko czekałem cicho aż zadzwoni
miracles,Cud cudów nie spieszyłem się po schodach tylko czekałem cicho aż zadzwoni
rush,i
stairs,i
waited,na i
quietly,i
rang,zadzwonił dzwonek
bell,się dzwonek i
seeing,i
regular,i
Lowenbachs,że
What,Co
Did,Czy
fight,i
weren,nie
suited,że i
welcome,że do
house,domu
hoped,że
hers,i jej
Actually,Właściwie
hanging,i
treated,że i mnie
uncle,wujek
apologize,nie
broke,i
reasons,powody
wants,chce
see,i
agree,się
Sometimes,Czasami
fashioned,i
ideas,i
mean,na
certain,że
sense,i
free,i
Wednesday,w
evenings,i
sign,i
wood,i
carving,Widzisz moi dziadkowie kazali mi zapisać się na zajęcia z rzeźbienia w drewnie ale tak naprawdę chodzę do klubu zorganizowanego przez syjonistów
actually,się
organized,Widzisz moi dziadkowie kazali mi zapisać się na zajęcia z rzeźbienia w drewnie ale tak naprawdę chodzę do klubu zorganizowanego przez syjonistów
Zionists,dziadkowie
fanatic,Nie
Zionist,Nie jestem fanatycznym syjonistą ale mnie to interesuje
interests,i
mess,bałagan
quit,w
means,to w nie
shouldn,nie
backs,i
fair,i
Just,się a w to
Blankevoort,Właśnie wtedy minęliśmy Księgarnię Blankevoort i był tam Peter Schiff z dwoma innymi chłopcami
Bookstore,Właśnie wtedy minęliśmy Księgarnię Blankevoort i był tam Peter Schiff z dwoma innymi chłopcami
Peter,Peter
Schiff,i Peter
hello,się
ages,wieki
Monday,poniedziałek
meet,się
cake,i
tea,i
felt,i się
stiffly,i
chairs,i
deliver,i
eight,ósmej o i
furious,wściekły
promise,i
future,w i
Who,Kto
business,i
leaving,z i
hadn,nie
Well,Cóż
whoosh,I szept był za drzwiami Spogląda w górę kot to zauważa i świst
praise,i
looking,i
Nice,Miło i uprzejmie
polite,i że
popular,Cieszę się że jest tak popularny wśród wszystkich
everyone,i
Except,Z wyjątkiem
teases,dokucza jest jej
Nobody,nie
minds,i
grow,się
guess,że nie
batting,że
eyelash,ani
loved,i
hide,się
feelings,i
puts,i
beau,a
Dear,Drogi
graduation,w
ceremony,w się
Theater,w
expected,się
report,do
card,i
algebra,i
B,B
pleased,się
grades,rodzice są
cards,i
healthy,i
happy,i
