"June 12, 1942
","12 czerwca 1942
"
"I'd call him Rin Tin Tin too, and I'd take him to school with me, where he could stay in the janitor's room or by the bicycle racks when the weather was good
","Nazywałbym go też Rin Tin Tin i zabierałem go ze sobą do szkoły, gdzie przy dobrej pogodzie mógł przebywać w pokoju woźnego lub przy stojakach na rowery
"
"MONDAY, JUNE 15, 1942
","PONIEDZIAŁEK, 15 CZERWCA 1942
"
"I had my birthday party on Sunday afternoon
","W niedzielne popołudnie miałem przyjęcie urodzinowe
"
"The Rin Tin Tin movie was a big hit with my classmates
","Film Rin Tin Tin był wielkim hitem wśród moich kolegów z klasy
"
"I got two brooches, a bookmark and two books
","Mam dwie broszki, zakładkę i dwie książki
"
"I'll start by saying a few things about my school and my class, beginning with the students
","Zacznę od kilku rzeczy o mojej szkole i klasie, zaczynając od uczniów
"
"Betty Bloemendaal looks kind of poor, and I think she probably is
","Betty Bloemendaal wygląda trochę biednie i myślę, że prawdopodobnie taka jest
"
"She lives on some obscure street in West Amsterdam, and none of us know where it is
","Mieszka na jakiejś nieznanej ulicy w zachodnim Amsterdamie i nikt z nas nie wie, gdzie to jest
"
"She does very well at school, but that's because she works so hard, not because she's so smart
","Bardzo dobrze radzi sobie w szkole, ale to dlatego, że bardzo ciężko pracuje, a nie dlatego, że jest taka mądra
"
"She's pretty quiet
","Jest dość cicha
"
"Jacqueline van Maarsen is supposedly my best friend, but I've never had a real friend
","Jacqueline van Maarsen jest podobno moją najlepszą przyjaciółką, ale nigdy nie miałam prawdziwej przyjaciółki
"
"At first I thought Jacque would be one, but I was badly mistaken
","Na początku myślałem, że Jacque będzie jednym z nich, ale bardzo się pomyliłem
"
"D.Q is a very nervous girl who's always forgetting things, so the teachers keep assigning her extra homework as punishment
","DQ to bardzo nerwowa dziewczyna, która zawsze zapomina o rzeczach, więc nauczyciele za karę zadają jej dodatkową pracę domową
"
"She's very kind, especially to G.Z
","Jest bardzo miła, szczególnie dla GZ
"
"talks so much it isn't funny
","tak dużo mówi, że nie jest zabawne
"
"She's always touching your hair or fiddling with your buttons when she asks you something
","Zawsze dotyka twoich włosów lub bawi się guzikami, kiedy cię o coś pyta
"
"They say she can't stand me, but I don't care, since I don't like her much either
","Mówią, że mnie nie znosi, ale mnie to nie obchodzi, bo ja też jej nie lubię
"
"Henny Mets is a nice girl with a cheerful disposition, except that she talks in a loud voice and is really childish when we're playing outdoors
","Henny Mets to miła dziewczyna o wesołym usposobieniu, poza tym, że mówi głośno i jest bardzo dziecinna, gdy bawimy się na świeżym powietrzu
"
"Unfortunately, Henny has a girlfriend named Beppy who's a bad influence on her because she's dirty and vulgar
","Niestety Henny ma dziewczynę o imieniu Beppy, która ma na nią zły wpływ, ponieważ jest brudna i wulgarna
"
"I could write a whole book about her
","Mógłbym napisać o niej całą książkę
"
"is a detestable, sneaky, stuck-up, two-faced gossip who thinks she's so grown-up
","to obrzydliwa, podstępna, nadęta, dwulicowa plotka, która myśli, że jest taka dorosła
"
"She's really got Jacque under her spell, and that's a shame
","Naprawdę ma Jacque pod swoim urokiem, a szkoda
"
"is easily offended, bursts into tears at the slightest thing and, to top it all off, is a terrible show-off
","łatwo się obraża, rozpłakuje się przy najmniejszej rzeczy, a na domiar złego jest okropnym popisem
"
"Miss J
","Panna J.
"
"always has to be right
","zawsze musi mieć rację
"
"She's very rich, and has a closet full of the most adorable dresses that are way too old for her
","Jest bardzo bogata i ma szafę pełną najbardziej uroczych sukienek, które są dla niej o wiele za stare
"
"She thinks she's gorgeous, but she's not
","Uważa, że ​​jest cudowna, ale tak nie jest
"
"and I can't stand each other
","i nie mogę siebie znieść
"
"Ilse Wagner is a nice girl with a cheerful disposition, but she's extremely finicky and can spend hours moaning and groaning about something
","Ilse Wagner to miła dziewczyna o wesołym usposobieniu, ale jest wyjątkowo wybredna i potrafi godzinami jęczeć i jęczeć z czegoś
"
"Ilse likes me a lot
","Ilse bardzo mnie lubi
"
"She's very smart, but lazy
","Jest bardzo mądra, ale leniwa
"
"Hanneli Goslar, or Lies as she's called at school, is a bit on the strange side
","Hanneli Goslar, lub Lies, jak ją nazywa w szkole, jest trochę dziwna
"
"She's usually shy -- outspoken at home, but reserved around other people
","Zwykle jest nieśmiała - w domu szczera, ale powściągliwa w stosunku do innych ludzi
"
"She blabs whatever you tell her to her mother
","Opowiada matce wszystko, co jej powiesz
"
"But she says what she thinks, and lately I've come to appreciate her a great deal
","Ale mówi, co myśli, a ostatnio bardzo ją doceniam
"
"Nannie van Praag-Sigaar is small, funny and sensible
","Nannie van Praag-Sigaar jest mała, zabawna i rozsądna
"
"I think she's nice
","Myślę, że jest miła
"
"She's pretty smart
","Jest całkiem sprytna
"
"There isn't much else you can say about Nannie
","Niewiele więcej możesz powiedzieć o Nannie
"
"Eefje de Jong is, in my opinion, terrific
","Moim zdaniem Eefje de Jong jest wspaniały
"
"Though she's only twelve, she's quite the lady
","Chociaż ma dopiero dwanaście lat, jest całkiem damą
"
"She acts as if I were a baby
","Zachowuje się, jakbym był dzieckiem
"
"She's also very helpful, and I like her
","Jest też bardzo pomocna i lubię ją
"
"is the prettiest girl in our class
","to najładniejsza dziewczyna w naszej klasie
"
"She has a nice face, but is kind of dumb
","Ma ładną twarz, ale jest trochę głupia
"
"I think they're going to hold her back a year, but of course I haven't told her that
","Myślę, że powstrzymają ją rok, ale oczywiście jej tego nie powiedziałem
"
"COMMENT ADDED BY ANNE AT A LATER DATE
","KOMENTARZ DODANY PRZEZ ANNE W PÓŹNIEJSZYM TERMINIE
"
"To my great surprise, G.Z
","Ku mojemu wielkiemu zdziwieniu, GZ
"
"wasn't held back a year after all
","w końcu nie był powstrzymywany przez rok
"
"And sitting next to G.Z
","I siedząc obok GZ
"
"is the last of us twelve girls, me
","to ostatnia z nas dwanaście dziewcząt, ja
"
"There's a lot to be said about the boys, or maybe not so much after all
","O chłopcach można wiele powiedzieć, a może wcale nie tak dużo
"
"Maurice Coster is one of my many admirers, but pretty much of a pest
","Maurice Coster jest jednym z moich wielu wielbicieli, ale w dużym stopniu szkodnikiem
"
"Sallie Springer has a filthy mind, and rumor has it that he's gone all the way
","Sallie Springer ma brudny umysł, a plotka głosi, że przeszedł na całość
"
"Still, I think he's terrific, because he's very funny
","Mimo to uważam, że jest wspaniały, ponieważ jest bardzo zabawny
"
"Emiel Bonewit is G.Z.'s admirer, but she doesn't care
","Emiel Bonewit jest wielbicielem GZ, ale jej to nie obchodzi
"
"He's pretty boring
","Jest dość nudny
"
"Rob Cohen used to be in love with me too, but I can't stand him anymore
","Rob Cohen też był we mnie zakochany, ale już go nie znoszę
"
"He's an obnoxious, two-faced, lying, sniveling little goof who has an awfully high opinion of himself
","Jest okropnym, dwulicowym, kłamliwym, złośliwym głupkiem, który ma o sobie okropnie wysokie mniemanie
"
"Max van de Velde is a farm boy from Medemblik, but eminently suitable, as Margot would say
","Max van de Velde jest chłopcem z farmy z Medemblik, ale znakomicie nadającym się, jak powiedziałaby Margot
"
"Herman Koopman also has a filthy mind, just like Jopie de Beer, who's a terrible flirt and absolutely girl-crazy
","Herman Koopman również ma brudny umysł, podobnie jak Jopie de Beer, która jest okropnym flirtem i absolutnie szaloną dziewczyną
"
"Leo Blom is Jopie de Beer's best friend, but has been ruined by his dirty mind
","Leo Blom jest najlepszym przyjacielem Jopie de Beer, ale został zrujnowany przez swój brudny umysł
"
"Albert de Mesquita came from the Montessori School and skipped a grade
","Albert de Mesquita pochodził ze szkoły Montessori i opuścił klasę
"
"He's really smart
","Jest naprawdę mądry
"
"Leo Slager came from the same school, but isn't as smart
","Leo Slager pochodzi z tej samej szkoły, ale nie jest tak mądry
"
"Ru Stoppelmon is a short, goofy boy from Almelo who transferred to this school in the middle of the year
","Ru Stoppelmon to niski, głupkowaty chłopak z Almelo, który przeniósł się do tej szkoły w połowie roku
"
"does whatever he's not supposed to
","robi wszystko, czego nie powinien
"
"Jacques Kocernoot sits behind us, next to C., and we
","Jacques Kocernoot siedzi za nami, obok C. i my
"
"and I
","i ja
"
"laugh ourselves silly
","śmiać się głupio
"
"Harry Schaap is the most decent boy in our class
","Harry Schaap to najbardziej przyzwoity chłopak w naszej klasie
"
"He's nice
","Jest miły
"
"Werner Joseph is nice too, but all the changes taking place lately have made him too quiet, so he seems boring
","Werner Joseph też jest miły, ale wszystkie zmiany, które zaszły ostatnio, sprawiły, że jest zbyt cichy, więc wydaje się nudny
"
"Sam Salomon is one of those tough guys from across the tracks
","Sam Salomon to jeden z tych twardzieli zza torów
"
"A real brat
","Prawdziwy bachor
"
"Appie Riem is pretty Orthodox, but a brat too
","Appie Riem jest dość ortodoksyjnym, ale też bachorem
"
"SATURDAY, JUNE 20, 1942
","SOBOTA, 20 CZERWCA 1942
"
"Writing in a diary is a really strange experience for someone like me
","Pisanie w pamiętniku to naprawdę dziwne doświadczenie dla kogoś takiego jak ja
"
"Not only because I've never written anything before, but also because it seems to me that later on neither I nor anyone else will be interested in the musings of a thirteen-year-old schoolgirl
","Nie tylko dlatego, że nigdy wcześniej nic nie pisałem, ale także dlatego, że wydaje mi się, że później ani ja, ani nikt inny nie będzie zainteresowany rozważaniami trzynastoletniej uczennicy.
"
"Oh well, it doesn't matter
","No cóż, to nie ma znaczenia
"
"I feel like writing, and I have an even greater need to get all kinds of things off my chest
","Mam ochotę pisać i mam jeszcze większą potrzebę zrzucenia z siebie różnych rzeczy
"
"Paper has more patience than people
","Papier ma więcej cierpliwości niż ludzie
"
"I thought of this saying on one of those days when I was feeling a little depressed and was sitting at home with my chin in my hands, bored and listless, wondering whether to stay in or go out
","Pomyślałem o tym powiedzeniu pewnego dnia, kiedy byłem trochę przygnębiony i siedziałem w domu z brodą w dłoniach, znudzony i apatyczny, zastanawiając się, czy zostać w domu, czy wyjść
"
"I finally stayed where I was, brooding
","W końcu zostałem tam, gdzie byłem, rozmyślając
"
"Yes, paper does have more patience, and since I'm not planning to let anyone else read this stiff-backed notebook grandly referred to as a
","Tak, papier ma więcej cierpliwości, a ponieważ nie zamierzam pozwolić nikomu innemu czytać tego zeszytu ze sztywnym grzbietem, nazywanego
"
"unless I should ever find a real friend, it probably won't make a bit of difference
","chyba że kiedykolwiek znajdę prawdziwego przyjaciela, prawdopodobnie nie zrobi to żadnej różnicy
"
"Now I'm back to the point that prompted me to keep a diary in the first place
","Teraz wróciłem do punktu, który skłonił mnie przede wszystkim do prowadzenia dziennika
"
"I don't have a friend
","Nie mam przyjaciela
"
"Let me put it more clearly, since no one will believe that a thirteen year-old girl is completely alone in the world
","Powiem to jaśniej, bo nikt nie uwierzy, że trzynastolatka jest zupełnie sama na świecie
"
"And I'm not
","A ja nie
"
"I have loving parents and a sixteen-year-old sister, and there are about thirty people I can call friends
","Mam kochających rodziców i szesnastoletnią siostrę, a około trzydziestu osób mogę nazwać przyjaciółmi
"
"I have a throng of admirers who can't keep their adoring eyes off me and who sometimes have to resort to using a broken pocket mirror to try and catch a glimpse of me in the classroom
","Mam rzesze wielbicieli, którzy nie mogą oderwać ode mnie uwielbiającego wzroku i którzy czasami muszą uciekać się do korzystania z pękniętego kieszonkowego lusterka, aby rzucić okiem na mnie w klasie
"
"I have a family, loving aunts and a good home
","Mam rodzinę, kochające ciotki i dobry dom
"
"No, on the surface I seem to have everything, except my one true friend
","Nie, pozornie wydaje mi się, że mam wszystko oprócz mojego jedynego prawdziwego przyjaciela
"
"All I think about when I'm with friends is having a good time
","Kiedy jestem z przyjaciółmi, myślę tylko o dobrej zabawie
"
"I can't bring myself to talk about anything but ordinary everyday things
","Nie mogę zmusić się do mówienia o niczym innym, jak tylko o zwykłych, codziennych sprawach
"
"We don't seem to be able to get any closer, and that's the problem
","Wydaje się, że nie jesteśmy w stanie podejść bliżej i to jest problem
"
"Maybe it's my fault
","Może to moja wina
"
"that we don't confide in each other
","że nie zwierzymy się sobie nawzajem
"
"In any case, that's just how things are, and unfortunately they're not liable to change
","W każdym razie tak właśnie jest i niestety nie mogą się one zmienić
"
"This is why I've started the diary
","Dlatego założyłem dziennik
"
"To enhance the image of this long-awaited friend in my imagination, I don't want to jot down the facts in this diary the way most people would do, but I want the diary to be my friend, and I'm going to call this friend Kitty
","Aby wzmocnić w wyobraźni obraz tego długo oczekiwanego przyjaciela, nie chcę zapisywać faktów w tym dzienniku tak, jak robiłaby to większość ludzi, ale chcę, aby pamiętnik był moim przyjacielem i zamierzam zadzwoń do tej przyjaciółki Kitty
"
"Since no one would understand a word of my stories to Kitty if I were to plunge right in, I'd better provide a brief sketch of my life, much as I dislike doing so
","Ponieważ nikt nie zrozumiałby ani słowa z moich historii dla Kitty, gdybym miał się zanurzyć, lepiej przedstawię krótki szkic mojego życia, chociaż nie lubię tego robić
"
"My father, the most adorable father I've ever seen, didn't marry my mother until he was thirty-six and she was twenty-five
","Mój ojciec, najbardziej uroczy ojciec, jakiego kiedykolwiek widziałem, poślubił moją matkę dopiero w wieku trzydziestu sześciu lat, a ona dwudziestu pięciu
"
"My sister Margot was born in Frankfurt am Main in Germany in 1926
","Moja siostra Margot urodziła się we Frankfurcie nad Menem w Niemczech w 1926 roku
"
"I was born on June 12, 1929
","Urodziłem się 12 czerwca 1929 roku
"
"I lived in Frankfurt until I was four
","Mieszkałem we Frankfurcie do czwartego roku życia
"
"Because we're Jewish, my father immigrated to Holland in 1933, when he became the Managing Director of the Dutch Opekta Company, which manufactures products used in making jam
","Ponieważ jesteśmy Żydami, mój ojciec wyemigrował do Holandii w 1933 roku, kiedy został dyrektorem zarządzającym holenderskiej firmy Opekta, która wytwarza produkty używane do wyrobu dżemu.
"
"My mother, Edith Hollander Frank, went with him to Holland in September, while Margot and I were sent to Aachen to stay with our grandmother
","Moja mama, Edith Hollander Frank, pojechała z nim do Holandii we wrześniu, podczas gdy Margot i ja zostaliśmy wysłani do Akwizgranu, aby zostać z naszą babcią.
"
"Margot went to Holland in December, and I followed in February, when I was plunked down on the table as a birthday present for Margot
","Margot pojechała do Holandii w grudniu, a ja w lutym, kiedy zostałem rzucony na stół jako prezent urodzinowy dla Margot
"
"I started right away at the Montessori nursery school
","Zacząłem od przedszkola Montessori
"
"I stayed there until I was six, at which time I started first grade
","Zostałem tam do szóstego roku życia, kiedy to zacząłem pierwszą klasę
"
"In sixth grade my teacher was Mrs
","W szóstej klasie moją nauczycielką była pani
"
"Kuperus, the principal
","Kuperus, dyrektor
"
"At the end of the year we were both in tears as we said a heartbreaking farewell, because I'd been accepted at the Jewish Lyceum, where Margot also went to school
","Pod koniec roku oboje byliśmy we łzach, gdy pożegnaliśmy się łamiącym serce, ponieważ zostałem przyjęty do Żydowskiego Liceum, gdzie Margot też chodziła do szkoły.
"
"Our lives were not without anxiety, since our relatives in Germany were suffering under Hitler's anti-Jewish laws
","Nasze życie nie było pozbawione niepokoju, ponieważ nasi krewni w Niemczech cierpieli z powodu antyżydowskich praw Hitlera
"
"After the pogroms in 1938 my two uncles
","Po pogromach w 1938 roku moi dwaj wujkowie
"
"my mother's brothers
","bracia mojej matki
"
"fled Germany, finding safe refuge in North America
","uciekł z Niemiec, znajdując bezpieczne schronienie w Ameryce Północnej
"
"My elderly grandmother came to live with us
","Przyjechała do nas moja starsza babcia
"
"She was seventy-three years old at the time
","Miała wtedy siedemdziesiąt trzy lata
"
"After May 1940 the good times were few and far between
","Po maju 1940 r. Dobre czasy były nieliczne
"
"first there was the war, then the capitulation and then the arrival of the Germans, which is when the trouble started for the Jews
","najpierw wojna, potem kapitulacja, potem nadejście Niemców i wtedy zaczęły się kłopoty dla Żydów
"
"Our freedom was severely restricted by a series of anti-Jewish decrees
","Nasza wolność została poważnie ograniczona przez szereg antyżydowskich dekretów
"
"Jews were required to wear a yellow star
","Żydzi musieli nosić żółtą gwiazdę
"
"Jews were required to turn in their bicycles
","Żydzi musieli oddawać rowery
"
"Jews were forbidden to use street-cars
","Zabroniono Żydom poruszania się po ulicach
"
"Jews were forbidden to ride in cars, even their own
","Żydom nie wolno było jeździć samochodami, nawet własnymi
"
"Jews were required to do their shopping between 3 and 5 P.M
","Żydzi musieli robić zakupy między godziną 15 a 17
"
"Jews were required to frequent only Jewish-owned barbershops and beauty parlors
","Żydzi byli zobowiązani do odwiedzania wyłącznie żydowskich salonów fryzjerskich i kosmetycznych
"
"Jews were forbidden to be out on the streets between 8 P.M
","Żydom nie wolno było wychodzić na ulice między godziną 20:00
"
"and 6 A.M
","i 6 rano
"
"Jews were forbidden to attend theaters, movies or any other forms of entertainment
","Zabroniono Żydom chodzenia do teatrów, filmów i innych form rozrywki
"
"Jews were forbidden to use swimming pools, tennis courts, hockey fields or any other athletic fields
","Zabroniono Żydom korzystania z basenów, kortów tenisowych, boisk hokejowych ani innych boisk lekkoatletycznych
"
"Jews were forbidden to go rowing
","Żydom nie wolno było wiosłować
"
"Jews were forbidden to take part in any athletic activity in public
","Zabroniono Żydom udziału w publicznych zajęciach sportowych
"
"Jews were forbidden to sit in their gardens or those of their friends after 8 P.M
","Żydom nie wolno było siedzieć w ogrodach ani ogrodach ich znajomych po godzinie 20:00
"
"Jews were forbidden to visit Christians in their homes
","Żydom nie wolno było odwiedzać chrześcijan w ich domach
"
"Jews were required to attend Jewish schools,
","Żydzi musieli uczęszczać do szkół żydowskich,
"
"You couldn't do this and you couldn't do that, but life went on
","Nie mogłeś tego zrobić i nie mogłeś tego zrobić, ale życie toczyło się dalej
"
"Jacque always said to me
","Jacque zawsze mi mówił
"
"I don't dare do anything anymore, 'cause I'm afraid it's not allowed
","Nie śmiem już nic robić, bo obawiam się, że to niedozwolone
"
"In the summer of 1941 Grandma got sick and had to have an operation, so my birthday passed with little celebration
","Latem 1941 roku babcia zachorowała i musiała mieć operację, więc moje urodziny minęły mało uroczystości
"
"In the summer of 1940 we didn't do much for my birthday either, since the fighting had just ended in Holland
","Latem 1940 r. Też nie zrobiliśmy zbyt wiele na moje urodziny, ponieważ właśnie zakończyły się walki w Holandii
"
"Grandma died in January 1942
","Babcia zmarła w styczniu 1942 roku
"
"No one knows how often I think of her and still love her
","Nikt nie wie, jak często o niej myślę i nadal ją kocham
"
"This birthday celebration in 1942 was intended to make up for the others, and Grandma's candle was lit along with the rest
","Te urodziny w 1942 roku miały na celu wynagrodzenie innych, a świeca babci została zapalona wraz z resztą
"
"The four of us are still doing well, and that brings me to the present date of June 20, 1942, and the solemn dedication of my diary
","Nasza czwórka nadal ma się dobrze, a to prowadzi mnie do obecnej daty 20 czerwca 1942 r. I uroczystego poświęcenia mojego dziennika
"
"SATURDAY, JUNE 20, 1942
","SOBOTA, 20 CZERWCA 1942
"
"Dearest Kitty
","Najdroższa Kitty
"
"Let me get started right away
","Pozwól, że zacznę od razu
"
"it's nice and quiet now
","teraz jest miło i cicho
"
"Father and Mother are out and Margot has gone to play Ping-Pong with some other young people at her friend Trees's
","Ojciec i matka wyszli, a Margot poszła pograć w ping-ponga z kilkoma innymi młodymi ludźmi u swojego przyjaciela, Trees
"
"I've been playing a lot of Ping-Pong myself lately
","Ostatnio dużo gram w ping-ponga
"
"So much that five of us girls have formed a club
","Tak bardzo, że pięć z nas, dziewcząt, założyło klub
"
"It's called
","To jest nazwane
"
"The Little Dipper Minus Two
","Mały Wóz Minus Dwa
"
"A really silly name, but it's based on a mistake
","Naprawdę głupie imię, ale oparte na pomyłce
"
"We wanted to give our club a special name
","Chcieliśmy nadać naszemu klubowi specjalną nazwę
"
"and because there were five of us, we came up with the idea of the Little Dipper
","a ponieważ było nas pięciu, wpadliśmy na pomysł Małego Wozu
"
"We thought it consisted of five stars, but we turned out to be wrong
","Myśleliśmy, że składa się z pięciu gwiazdek, ale okazało się, że się mylimy
"
"It has seven, like the Big Dipper, which explains the
","Ma siedem, podobnie jak Wielki Wóz, co wyjaśnia
"
"Minus Two
","Minus dwa
"
"Ilse Wagner has a Ping-Pong set, and the Wagners let us play in their big dining room whenever we want
","Ilse Wagner ma zestaw do ping-ponga, a Wagners pozwalają nam bawić się w ich dużej jadalni, kiedy tylko chcemy
"
"Since we five Ping- Pong players like ice cream, especially in the summer, and since you get hot playing Ping-Pong, our games usually end with a visit to the nearest ice-cream parlor that allows Jews
","Ponieważ my, pięciu graczy w ping-ponga, lubimy lody, szczególnie latem, a grając w ping ponga robi się gorąco, nasze gry zwykle kończą się wizytą w najbliższej lodziarni, która pozwala Żydom
"
"either Oasis or Delphi
","Oaza lub Delphi
"
"We've long since stopped hunting around for our purses or money -- most of the time it's so busy in Oasis that we manage to find a few generous young men of our acquaintance or an admirer to offer us more ice cream than we could eat in a week
","Już dawno przestaliśmy polować na torebki lub pieniądze - przez większość czasu w Oazie jest tak tłoczno, że udaje nam się znaleźć kilku hojnych młodych mężczyzn naszego znajomego lub wielbiciela, którzy oferują nam więcej lodów, niż moglibyśmy zjeść w ciągu tygodnia
"
"You're probably a little surprised to hear me talking about admirers at such a tender age
","Prawdopodobnie jesteś trochę zaskoczony, słysząc, jak mówię o wielbicielach w tak młodym wieku
"
"Unfortunately, or not, as the case may be, this vice seems to be rampant at our school
","Niestety lub nie, zależnie od przypadku, ten występek wydaje się szerzyć w naszej szkole
"
"As soon as a boy asks if he can bicycle home with me and we get to talking, nine times out of ten I can be sure he'll become enamored on the spot and won't let me out of his sight for a second
","Gdy tylko chłopiec zapyta, czy może pojechać ze mną do domu na rowerze i zaczniemy rozmawiać, dziewięć razy na dziesięć mogę być pewien, że zakocha się na miejscu i na sekundę nie spuści mnie z oczu
"
"His ardor eventually cools, especially since I ignore his passionate glances and pedal blithely on my way
","Jego zapał w końcu się ochładza, zwłaszcza że ignoruję jego namiętne spojrzenia i beztrosko pedałuję po drodze
"
"If it gets so bad that they start rambling on about
","Jeśli zrobi się tak źle, że zaczną się włóczyć
"
